T,query_strategy,simulation,prior_included,prior_excluded,n_queries,n_instances
0,random,0,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
1,random,1,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
2,random,2,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
3,random,3,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
4,random,4,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
5,random,5,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
6,random,6,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
7,random,7,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
8,random,8,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
9,random,9,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
10,random,10,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
11,random,11,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
12,random,12,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
13,random,13,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
14,random,14,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
15,random,15,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
16,random,16,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
17,random,17,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
18,random,18,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
19,random,19,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
20,random,20,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
21,random,21,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
22,random,22,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
23,random,23,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
24,random,24,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
25,random,25,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
26,random,26,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
27,random,27,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
28,random,28,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
29,random,29,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
30,random,30,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
31,random,31,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
32,random,32,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
33,random,33,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
34,random,34,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
35,random,35,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
36,random,36,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
37,random,37,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
38,random,38,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
39,random,39,1136 1940 466 4636 2708 4301 1256 1552 4048 3560,1989 2276 1006 681 4822 3908 4896 3751 2346 2166,12,40
